"","Q","V","Kpu"
"Adipose",15600,10000,402.149830502988
"Bone",15000,4579,33.528826379801
"Brain",42000,1450,34.2687182570534
"Gut",66000,1650,109.044336340223
"Heart",9000,310,92.069062843228
"Kidney",66000,280,195.255576678203
"Liver",99000,1690,178.945849763206
"Lung",313980,1172,157.003466803613
"Muscle",45000,35000,63.4457781759738
"Pancreas",7980,77,83.0326264547853
"Skin",18000,7800,77.4744237614062
"Spleen",4620,192,155.084107136745
"Thymus",4800,29,95.2494432538792
"Stomach",2280,154,NA
"Artery",NA,1698,NA
"Vein",NA,3396,NA
"Hepatic artery",18120,NA,NA
