,AC.PL,AC.PL.blood,f.EW,f.IW,f.IW.blood,f.NL,f.NL.blood,f.NL.plasma,f.NP,f.NP.blood,f.NP.plasma,hematocrit,pH.blood,pH.IW,pH.P
Adipose,0.4,0.5,0.135,0.017,0.63,0.853,0.0017,0.023,0.0016,0.0029,0.0013,0.44,7.22,7,7.4
Bone,0.67,0.5,0.1,0.346,0.603,0.017,0.0017,0.023,0.0017,0.0029,0.0013,0.44,7.22,7,7.4
Brain,0.4,0.5,0.162,0.62,0.603,0.039,0.0017,0.023,0.0015,0.0029,0.0013,0.44,7.22,7,7.4
Gut,2.41,0.5,0.282,0.475,0.603,0.038,0.0017,0.023,0.0125,0.0029,0.0013,0.44,7.22,7,7.4
Heart,2.25,0.5,0.32,0.456,0.603,0.014,0.0017,0.023,0.0111,0.0029,0.0013,0.44,7.22,7,7.4
Kidney,5.03,0.5,0.273,0.483,0.603,0.012,0.0017,0.023,0.0242,0.0029,0.0013,0.44,7.22,7,7.4
Liver,4.56,0.5,0.161,0.573,0.603,0.014,0.0017,0.023,0.024,0.0029,0.0013,0.44,7.22,7,7.4
Lung,3.91,0.5,0.336,0.446,0.603,0.022,0.0017,0.023,0.0128,0.0029,0.0013,0.44,7.22,7,7.4
Muscle,1.53,0.5,0.118,0.63,0.603,0.01,0.0017,0.023,0.0072,0.0029,0.0013,0.44,7.22,7,7.4
Pancreas,1.67,0.5,0.12,0.664,0.603,0.041,0.0017,0.023,0.0093,0.0029,0.0013,0.44,7.22,7,7.4
Skin,1.32,0.5,0.382,0.291,0.603,0.06,0.0017,0.023,0.0044,0.0029,0.0013,0.44,7.22,7,7.4
Spleen,3.18,0.5,0.207,0.579,0.603,0.077,0.0017,0.023,0.0113,0.0029,0.0013,0.44,7.22,7,7.4
Thymus,2.3,0.5,0.15,0.626,0.603,0.017,0.0017,0.023,0.0092,0.0029,0.0013,0.44,7.22,7,7.4
